Year;Country of origin;Country of asylum;Refugees;Asylum-seekers
2017;Algeria;France;1654;1424
2017;Algeria;United Kingdom of Great Britain and Northern Ireland;323;201
2017;Algeria;Germany;524;1748
2017;Algeria;Greece;62;328
2017;Algeria;Italy;186;169
2017;Algeria;Spain;46;484
2017;Algeria;Switzerland;160;148
2017;Egypt;France;886;302
2017;Egypt;United Kingdom of Great Britain and Northern Ireland;651;406
2017;Egypt;Germany;1798;3038
2017;Egypt;Greece;191;685
2017;Egypt;Italy;1995;968
2017;Egypt;Spain;14;21
2017;Egypt;Switzerland;106;34
2017;Bahrain;France;6;0
2017;Bahrain;United Kingdom of Great Britain and Northern Ireland;154;18
2017;Bahrain;Germany;73;18
2017;Bahrain;Italy;5;0
2017;Bahrain;Switzerland;5;0
2017;Palestinian;France;813;199
2017;Palestinian;United Kingdom of Great Britain and Northern Ireland;486;238
2017;Palestinian;Greece;606;622
2017;Palestinian;Italy;954;234
2017;Palestinian;Portugal;5;0
2017;Palestinian;Spain;862;1315
2017;Iraq;France;7265;946
2017;Iraq;United Kingdom of Great Britain and Northern Ireland;4192;2868
2017;Iraq;Germany;130640;45672
2017;Iraq;Greece;4473;5436
2017;Iraq;Italy;5359;1565
2017;Iraq;Portugal;57;0
2017;Iraq;Spain;319;197
2017;Iraq;Switzerland;4015;1394
2017;Israel;France;7;0
2017;Israel;United Kingdom of Great Britain and Northern Ireland;10;6
2017;Israel;Germany;33;38
2017;Israel;Italy;7;0
2017;Israel;Switzerland;5;0
2017;Jordan;France;27;0
2017;Jordan;United Kingdom of Great Britain and Northern Ireland;54;39
2017;Jordan;Germany;318;389
2017;Jordan;Greece;8;26
2017;Jordan;Italy;27;17
2017;Jordan;Spain;29;15
2017;Jordan;Switzerland;57;10
2017;Kuwait;France;77;0
2017;Kuwait;United Kingdom of Great Britain and Northern Ireland;542;159
2017;Kuwait;Germany;31;41
2017;Kuwait;Greece;42;210
2017;Kuwait;Italy;5;5
2017;Kuwait;Switzerland;0;8
2017;Libya;France;540;519
2017;Libya;United Kingdom of Great Britain and Northern Ireland;1753;990
2017;Libya;Germany;1379;1692
2017;Libya;Greece;29;13
2017;Libya;Italy;837;604
2017;Libya;Portugal;14;0
2017;Libya;Spain;24;50
2017;Libya;Switzerland;297;71
2017;Lebanon;France;135;30
2017;Lebanon;United Kingdom of Great Britain and Northern Ireland;150;92
2017;Lebanon;Germany;1390;4148
2017;Lebanon;Greece;30;80
2017;Lebanon;Italy;313;61
2017;Lebanon;Spain;25;109
2017;Lebanon;Switzerland;41;24
2017;Mauritania;France;5320;526
2017;Mauritania;United Kingdom of Great Britain and Northern Ireland;5;0
2017;Mauritania;Germany;33;120
2017;Mauritania;Greece;49;8
2017;Mauritania;Italy;342;48
2017;Mauritania;Portugal;5;0
2017;Mauritania;Spain;0;37
2017;Mauritania;Switzerland;6;7
2017;Morocco;France;473;359
2017;Morocco;United Kingdom of Great Britain and Northern Ireland;167;115
2017;Morocco;Germany;576;1691
2017;Morocco;Greece;107;275
2017;Morocco;Italy;746;1901
2017;Morocco;Portugal;9;0
2017;Morocco;Spain;112;402
2017;Morocco;Switzerland;62;101
